iter	Logloss
0	0.6680024778
1	0.6478067225
2	0.6292407161
3	0.6069780161
4	0.5895652445
5	0.5686452659
6	0.555652138
7	0.5321683464
8	0.5118863735
9	0.4960831378
10	0.4793745866
11	0.4681676529
12	0.4536327911
13	0.4429596041
14	0.4279369175
15	0.4176875559
16	0.4142499897
17	0.4017629833
18	0.3906552023
19	0.3784449159
20	0.371426253
21	0.3597948399
22	0.3499521799
23	0.3396158702
24	0.3312146367
25	0.3233331837
26	0.3184183364
27	0.3101831877
28	0.3057239922
29	0.3014760686
30	0.2951719591
31	0.289032675
32	0.2820879095
33	0.2740810289
34	0.2676111499
35	0.2621841794
36	0.2588125789
37	0.2524183808
38	0.248013363
39	0.2444955517
40	0.239275999
41	0.2348655892
42	0.2297696774
43	0.2274685091
44	0.2235648808
45	0.2181159713
46	0.2157049047
47	0.2141296399
48	0.2096147015
49	0.2055086146
50	0.2005820479
51	0.1976525677
52	0.1950186691
53	0.193245418
54	0.1911486604
55	0.1871586734
56	0.1839284901
57	0.1805403585
58	0.176834693
59	0.1730766804
60	0.1704203897
61	0.1675264745
62	0.1639969602
63	0.1590239411
64	0.1553584954
65	0.1514771807
66	0.1480736976
67	0.1452880906
68	0.1412997211
69	0.1390781358
70	0.1362237379
71	0.1337931546
72	0.1311919984
73	0.1285087829
74	0.1268530808
75	0.1250702721
76	0.123408499
77	0.1215329266
78	0.1192794318
79	0.1183933724
80	0.1173402711
81	0.1165231246
82	0.1140769851
83	0.1126462877
84	0.1105070475
85	0.1090305109
86	0.1073198175
87	0.1053633837
88	0.1030641216
89	0.1017486463
90	0.1000292425
91	0.09864860601
92	0.09682154724
93	0.09533313482
94	0.09445701894
95	0.09334131011
96	0.09224335635
97	0.09161376131
98	0.09094374731
99	0.09013524742
100	0.08961084518
101	0.08825728014
102	0.08775233179
103	0.08691307321
104	0.08649820544
105	0.08581335075
106	0.08499701551
107	0.08437921271
108	0.08343048039
109	0.08290777064
110	0.08132379867
111	0.07997410242
112	0.07905150523
113	0.07818465972
114	0.0776887379
115	0.07679726843
116	0.07577510215
117	0.07454174821
118	0.07401632372
119	0.07316156532
120	0.07226873305
121	0.07205129722
122	0.07136904269
123	0.07071138387
124	0.06970691289
125	0.06940450174
126	0.06857896207
127	0.06799946769
128	0.06763660757
129	0.06680458663
130	0.06556877735
131	0.06490260651
132	0.06414065386
133	0.06354034099
134	0.06228802976
135	0.061706246
136	0.06068611239
137	0.06021082074
138	0.05974997984
139	0.05887836059
140	0.05845141178
141	0.05793561576
142	0.05693206731
143	0.05602631991
144	0.05530159111
145	0.0547089574
146	0.05441871465
147	0.05391066089
148	0.05362860728
149	0.05322133594
150	0.05279074453
151	0.05195139662
152	0.05159121819
153	0.05094905728
154	0.05025308945
155	0.04988893988
156	0.04938153066
157	0.04913125754
158	0.04875160116
159	0.04833791124
160	0.0476595449
161	0.04721916904
162	0.04674640618
163	0.04642928614
164	0.04567980133
165	0.04542200212
166	0.04493784504
167	0.0445470405
168	0.04411666219
169	0.0435387059
170	0.04292428448
171	0.04244976608
172	0.04205054435
173	0.04152287696
174	0.04126346841
175	0.04097995525
176	0.04059483843
177	0.04020485806
178	0.03981649985
179	0.03957423843
180	0.03933513474
181	0.03892564925
182	0.03837388588
183	0.03795007271
184	0.03777597463
185	0.03738252607
186	0.03699008515
187	0.03664254275
188	0.03637870844
189	0.03602005901
190	0.03569573759
191	0.03514912044
192	0.03473317902
193	0.03436522697
194	0.03399500601
195	0.03364767038
196	0.03338625454
197	0.03323561486
198	0.03291396509
199	0.03258951516
200	0.03237666792
201	0.03208687215
202	0.03182746586
203	0.03143955839
204	0.0311456379
205	0.03085871111
206	0.03042736922
207	0.03025901359
208	0.03004317728
209	0.02985717084
210	0.02956164699
211	0.02927555529
212	0.02924000178
213	0.02903047366
214	0.0287747751
215	0.02853120058
216	0.02819804335
217	0.02792690878
218	0.02777808816
219	0.0276354487
220	0.02738951736
