feature,importance,importance_pct
target_fraud_rate_past,231110.64553439617,68.395618154457
amount,27942.675488114357,8.26944409453669
target_txn_count_past,14129.459869384766,4.181517211033604
amount_x_high_fraud_rate,11239.68077468872,3.326306811467016
last_phone_model,11220.751140594482,3.3207047154565994
target_fraud_rate_past_smooth,4870.017545700073,1.4412484534886325
last_os,4591.978569030762,1.3589647160331029
amount_over_mean_past,3837.4668712615967,1.1356721288207563
cst_amount_deviation_ratio,3466.2185142040253,1.025803711418062
var_interval_30d,2825.4813888669014,0.8361819323753477
cst_amount_deviation,2804.8484416007996,0.8300757524572818
amount_cum_count,1999.0091050863266,0.5915931008830082
hours_since_prev_trans,1551.4902080893517,0.4591529377519099
amount_diff_mean_past,1507.9569971561432,0.4462695811019367
avg_interval_30d,1381.7779009342194,0.4089277387808534
fano_factor,1374.7478041648865,0.40684722962424424
target_txn_count_past_log1p,1297.7079277038574,0.38404780400319094
sessions_7d_vs_30d_ratio,1118.2898950576782,0.3309502618172096
login_share_7_of_30,1069.1608199477196,0.3164108473573843
login_freq_change_7_vs_30,997.5199127197266,0.29520920983145116
burstiness,957.173110306263,0.28326884903481325
log_amount,907.321511387825,0.26851560858528506
cst_new_targets_ratio,679.5105499327183,0.20109650941287485
cst_txn_count_past,616.4469718933105,0.18243327391775704
cst_night_tx_share,568.5168413668871,0.1682486789243142
amount_x_new_target,549.538630515337,0.16263220695412012
daily_logins_avg_30d,548.0080032348633,0.16217922825740105
zscore_interval_7_vs_30,479.6383250951767,0.1419456886531461
sessions_unique_30d,440.4876972436905,0.13035932755391683
std_interval_30d,434.3184621334076,0.12853358452969432
cst_weekend_tx_share,414.4963970184326,0.12266737964976882
ewm_interval_7d,355.11702251434326,0.1050944590452623
logins_7d_vs_30d_ratio,281.94770526885986,0.08344049900645657
sqrt_amount,143.28799438476562,0.04240510395960897
is_new_phone_model_for_client,95.5093994140625,0.028265354879611192
sessions_unique_7d,64.5070390701294,0.019090417935155528
os_ver_count_30d,28.12150001525879,0.008322365992820262
cst_amount_mean_past,1.875599980354309,0.0005550710127185727
new_target_x_high_fraud_target,0.0,0.0
night_x_high_amount,0.0,0.0
new_device_x_high_amount,0.0,0.0
weekend_x_high_amount,0.0,0.0
high_amount_x_new_os,0.0,0.0
first_tx_x_high_amount,0.0,0.0
is_login_spike,0.0,0.0
risk_score,0.0,0.0
is_first_tx_for_client,0.0,0.0
target_same_as_prev,0.0,0.0
is_high_amount_vs_client,0.0,0.0
is_high_amount_global,0.0,0.0
is_weekend,0.0,0.0
is_night_tx,0.0,0.0
is_new_target_for_client,0.0,0.0
is_new_os_for_client,0.0,0.0
daily_logins_avg_7d,0.0,0.0
phone_model_count_30d,0.0,0.0
risk_x_target_fraud,0.0,0.0
